Team,Nationality,Position,Age,Potential,Name
Paris Saint-Germain ,France,Defensa Central,24,Muy Bueno,Presnel Kimpembe
Liverpool ,England,Lateral Derecho|Defensa Central,23,Muy Bueno,Joe Gomez
Valencia CF ,Portugal,Delantero Centro|Medio Izquierdo,23,Muy Bueno,Gonçalo Guedes
Sporting CP ,Argentina,Lateral Izquierdo|Extremo Izquierdo,28,Muy Bueno,Marcos Acuña
Wolverhampton Wanderers ,Portugal,Medio Centro,23,Muy Bueno,Rúben Neves
Getafe CF ,Spain,Portero,27,Muy Bueno,David Soria
Real Sociedad ,Norway,Medio Derecho|Medio Centro|Medio Centro Ofensivo,21,Muy Bueno,Martin Ødegaard
Liverpool ,Guinea,Medio Centro Defensivo|Medio Centro,25,Muy Bueno,Naby Keïta
Real Madrid ,Spain,Extremo Derecho|Extremo Izquierdo,24,Muy Bueno,Marco Asensio
Tottenham Hotspur ,Colombia,Defensa Central,24,Muy Bueno,Davinson Sánchez
Leicester City ,England,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,23,Muy Bueno,James Maddison
Newcastle United ,Slovakia,Portero,31,Muy Bueno,Martin Dúbravka
FC Bayern München ,France,Medio Centro Defensivo|Medio Centro,25,Muy Bueno,Corentin Tolisso
Napoli ,Italy,Delantero Centro|Medio Derecho|Extremo Derecho,26,Muy Bueno,Matteo Politano
Athletic Club ,Spain,Delantero Centro|Extremo Derecho,26,Muy Bueno,Iñaki Williams
LOSC Lille ,France,Portero,25,Muy Bueno,Mike Maignan
Atlético Madrid ,Argentina,Delantero Centro|Medio Derecho,25,Muy Bueno,Ángel Correa
Atlético Madrid ,France,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,24,Muy Bueno,Thomas Lemar
Olympique Lyonnais ,France,Delantero Centro,24,Muy Bueno,Moussa Dembélé
Manchester City ,Portugal,Lateral Derecho,26,Muy Bueno,João Cancelo
Juventus ,France,Medio Centro Defensivo|Medio Centro,25,Muy Bueno,Adrien Rabiot
D. Alavés ,Spain,Portero,28,Muy Bueno,Pacheco
Torino ,Italy,Delantero Centro,26,Muy Bueno,Andrea Belotti
Borussia Dortmund ,Germany,Medio Centro Defensivo|Medio Centro,26,Muy Bueno,Emre Can
Villarreal CF ,Spain,Delantero Centro|Medio Derecho,28,Muy Bueno,Gerard Moreno
Atlanta United ,Venezuela,Delantero Centro,27,Muy Bueno,Josef Martínez
Borussia Mönchengladbach ,Germany,Defensa Central,26,Muy Bueno,Matthias Ginter
Real Betis ,Portugal,Medio Centro Defensivo|Medio Centro,28,Muy Bueno,William Carvalho
West Ham United ,France,Delantero Centro,26,Muy Bueno,Sébastien Haller
Chelsea ,Germany,Defensa Central,27,Muy Bueno,Antonio Rüdiger
Bayer 04 Leverkusen ,Germany,Medio Derecho,30,Muy Bueno,Karim Bellarabi
Paris Saint-Germain ,Germany,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,26,Muy Bueno,Julian Draxler
West Ham United ,Brazil,Medio Izquierdo|Medio Centro Ofensivo,27,Muy Bueno,Felipe Anderson
Tottenham Hotspur ,Brazil,Medio Derecho|Media Punta,27,Muy Bueno,Lucas Moura
FC Porto ,Portugal,Medio Centro Defensivo|Medio Centro,28,Muy Bueno,Danilo Pereira
Real Madrid ,Spain,Lateral Derecho|Lateral Izquierdo|Defensa Central,30,Muy Bueno,Nacho Fernández
Bayer 04 Leverkusen ,Germany,Delantero Centro|Extremo Derecho|Extremo Izquierdo,27,Muy Bueno,Kevin Volland
Villarreal CF ,Spain,Delantero Centro,26,Muy Bueno,Paco Alcácer
Valencia CF ,Netherlands,Portero,31,Muy Bueno,Jasper Cillessen
FC Barcelona ,Spain,Lateral Derecho|Medio Centro,28,Muy Bueno,Sergi Roberto
Beijing Sinobo Guoan FC ,DR Congo,Delantero Centro,29,Muy Bueno,Cédric Bakambu
Genoa ,Italy,Portero,27,Muy Bueno,Mattia Perin
Real Sociedad ,Brazil,Delantero Centro,28,Muy Bueno,Willian José
TSG 1899 Hoffenheim ,Germany,Portero,30,Muy Bueno,Oliver Baumann
PFC CSKA Moscow ,Russia,Carrilero Derecho|Medio Derecho|Extremo Derecho,29,Muy Bueno,Mário Fernandes
Borussia Dortmund ,Denmark,Medio Centro Defensivo|Medio Centro,28,Muy Bueno,Thomas Delaney
FC Porto ,Mexico,Lateral Derecho|Medio Derecho,27,Muy Bueno,Jesús Corona
Real Madrid ,France,Portero,27,Muy Bueno,Alphonse Areola
Real Sociedad ,Spain,Medio Centro Defensivo|Medio Centro,30,Muy Bueno,Illarramendi
Shakhtar Donetsk ,Brazil,Medio Izquierdo|Medio Centro Ofensivo,32,Muy Bueno,Taison
Roma ,Serbia,Lateral Izquierdo,34,Muy Bueno,Aleksandar Kolarov
Sevilla FC ,Brazil,Medio Centro Defensivo|Medio Centro,33,Muy Bueno,Fernando
Galatasaray SK ,Uruguay,Portero,34,Muy Bueno,Fernando Muslera
Chelsea ,Brazil,Medio Derecho|Extremo Derecho|Extremo Izquierdo,31,Muy Bueno,Willian
Atlético Madrid ,Spain,Delantero Centro,31,Muy Bueno,Diego Costa
